"transaction_id","user_id","subscription_id","quantity","product_name","type","timestamp","reference_number","stripe_session_id","stripe_invoice_id","stripe_customer_id","datatrans_transaction_id","price_amount","price_currency","carbon_amount","carbon_mix","transaction_status"
"109","48",NULL,NULL,"First Step","ONETIME","2021-04-11 21:26:43","60734d73772a8",NULL,NULL,NULL,,"4500","CHF","1200","standard","MANUAL"
"119","51",NULL,NULL,"First Step","ONETIME","2021-04-26 21:56:05","60871a8b6bcd2",NULL,NULL,NULL,,"4500","CHF","1200","standard","MANUAL"
"137","65","48",NULL,"Climate Activist","SUB_FIRST","2021-07-05 12:05:07","60e2d9522703e",NULL,NULL,NULL,"210705120507739788","1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"138","65",NULL,NULL,"First Step","ONETIME","2021-07-05 21:00:35","60e356d3314fa",NULL,NULL,NULL,"210705210035269147","4500","CHF","1200","standard","PAYMENT_SUCCESSFUL"
"143","65","53",NULL,"Climate Activist","SUB_FIRST","2021-07-21 00:33:27","60f74f36847ee","cs_live_a1m5MdXHjxHCi4OZGjVqNz50gLv7T8iiUYy83rwCg3Ft0e8ESn1HW0DYSr","in_1JFRVKC86j9xUPn0J7jr0mk7","cus_JtDxIjibE8SJSe",,"1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"144","68","54",NULL,"Climate Citizen","SUB_FIRST","2021-07-21 08:39:14","60f7c11213da8","cs_live_a1ioOqO8AcnYZ7ZJfw9l0qqesjaq7rDqT3ejXM8HHI7NOUNm3fe4zUClpw","in_1JFZ6wC86j9xUPn0hSdMks2V","cus_JtLoN47FeAiCB1",,"1000","CHF","292","standard","PAYMENT_SUCCESSFUL"
"145","69","55",NULL,"Climate Activist","SUB_FIRST","2021-07-23 17:58:14","60fae7156171f","cs_live_a1O5V7d9EzsAovdQCIXhaNdrG6e5wFSEMKxv44ncqyMw06IemCO0M4dED0","in_1JGQmsC86j9xUPn0jcxg5Ycv","cus_JuFH9WJAdUfmw9",,"1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"146","70",NULL,NULL,"Outstanding Support","ONETIME","2021-07-24 18:54:11","60fc45b323dd3","cs_live_a1AFgN6aW1Uuf8lFvcdfLiKASSByDgavSKYLI3qYv9feggXa5qz1Jq597Z",NULL,"cus_JudOhXSI2vlKgs",,"15500","CHF","4700","standard","PAYMENT_SUCCESSFUL"
"147","65","56",NULL,"Climate Citizen","SUB_FIRST","2021-08-02 02:10:08","610737dfca8b3","cs_live_a12HERW6uysTjTHhhytAypDzH8Bd9T6L9IpG3pBftsGh3cA6nfnvpp8mu8",NULL,NULL,,"1000","CHF","292","standard","CREATED"
"148","71","57",NULL,"Climate Citizen","SUB_FIRST","2021-08-02 10:44:39","6107b076b4c54","cs_live_a1sl5ke89yP5dM1b5ZTmkRRjBDL5Eh0Mts5SNL12D8FRJ7figjlCxA6DN5","in_1JJwmxC86j9xUPn0ngHnKScu","cus_JxsY2POJQmzh0K",,"1000","CHF","292","standard","PAYMENT_SUCCESSFUL"
"149","72","58",NULL,"Climate Hero","SUB_FIRST","2021-08-04 22:26:05","610af7dcd46e6","cs_live_a1M03KXBiMfIM938uJysPWcTSGI1rwG4DdmRw0k3MUlKFrdT5BAq2mNije","in_1JKqfcC86j9xUPn0e8Y6QW7v","cus_JyoIzSvevdLSj6",,"3600","CHF","1167","standard","PAYMENT_SUCCESSFUL"
"150","73","59",NULL,"Climate Activist","SUB_FIRST","2021-08-08 18:20:35","6110045315d59","cs_live_a1GQqArrT5g6Kw5oAuT1cy85rXIt2FWihr8uu9J1bWr2VmiklOsv6YHQQq",NULL,"cus_K0FF6xXDetlYiz",,"1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"151","74","60",NULL,"Climate Activist","SUB_FIRST","2021-08-08 23:53:08","611052442b9dc","cs_live_a1gkuYKCafZuEvrCXi4FkJsmq80VwWkuOoPFEuu8HTkMbx9BjyaDexcGBe","in_1JMJvyC86j9xUPn0iAW8aXrV","cus_K0KbLcNe6h7177",,"1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"152","75","61",NULL,"Climate Citizen","SUB_FIRST","2021-08-15 11:06:58","6118d931e40f7","cs_live_a1ggibGmdraSPOaoPwsGXZXnEm1wdyYfePTsEwovb8HmU4gPuCC9et5vRf","in_1JOfKiC86j9xUPn0jruxoTtU","cus_K2kqgV9sIU07sy",,"1000","CHF","292","standard","PAYMENT_SUCCESSFUL"
"153","51","62",NULL,"Climate Hero","SUB_FIRST","2021-08-15 21:21:26","6119693625210","cs_live_a1PiZRWDrbDial0kHs5Q1uCJAQQwqniR0CwOwQb5uWD7GQJumvWlyzfBfq","in_1JOovvC86j9xUPn022PNKFCz","cus_K2uljDOqgipIvH",,"3600","CHF","1167","standard","PAYMENT_SUCCESSFUL"
"154","76","63",NULL,"Climate Activist","SUB_FIRST","2021-08-16 17:26:41","611a83b0d08da","cs_live_a1xO8V2l4nvhWLVtd0ZIkpxZheAhqHa3u39VqQwnfb4Jx1JxmaNb3R4Tsv","in_1JP7ilC86j9xUPn04glj2zAH","cus_K3EBD5oiMRCx2I",,"1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"155","77","64",NULL,"Climate Activist","SUB_FIRST","2021-08-16 21:44:01","611ac000baae5","cs_live_a1I6NyDZ6mY4dE9M1psyFlfK1cNJEM06iPkKiLHNB7blQMHhXTUIzX03wR","in_1JPBmiC86j9xUPn0gO5OsSMF","cus_K3INtEsV2SGaB6",,"1900","CHF","584","standard","PAYMENT_SUCCESSFUL"
"156","65","53",NULL,"Climate Activist","RECURRING","2021-08-27 03:54:49","60f74f36847ee",,"in_1JQgHoC86j9xUPn08zEmX5vy","cus_JtDxIjibE8SJSe",,"1900","CHF","584","standard","CREATED"
"157","68","54",NULL,"Climate Citizen","RECURRING","2021-08-29 06:41:31","60f7c11213da8",,"in_1JQntHC86j9xUPn0NQ9gJEqY","cus_JtLoN47FeAiCB1",,"1000","CHF","292","standard","CREATED"
"158","78",NULL,NULL,"Legendary Contribution","ONETIME","2021-08-29 13:30:38","612b6fdd8bb3e","cs_live_a1HgV8G9olixrX3GL4Q2idyvFwlM1THV8GDsDKa75NOYs7UrBu9iFNYQ9J",NULL,"cus_K82JSWhHzVRZvd",,"45000","CHF","14000","standard","PAYMENT_SUCCESSFUL"
"159","79",NULL,NULL,"Legendary Contribution","ONETIME","2021-08-29 13:30:57","612b6ff119848","cs_live_a1YC0YGapbPwL7QrU6N2tS59hWAy1EJ9SX4mhQnwJRXKIihFIOBQ70rwjD",NULL,"cus_K82JtG7gkrd5m9",,"45000","CHF","14000","standard","PAYMENT_SUCCESSFUL"
